,city_name,temperature,humidity,cloudiness,wind_speed,long,lati,country
94,Upernavik,-1.61,97,61,6.8,-56.1549,72.7868,GL
95,Port Blair,87.84,70,20,9.22,92.75,11.6667,IN
96,Basco,82.29,78,95,14.5,121.9702,20.4487,PH
97,Geraldton,81.01,32,7,11.5,114.6,-28.7667,AU
98,Hualmay,67.24,87,13,7.38,-77.6139,-11.0964,PE
99,Sfântu Gheorghe,49.26,93,51,1.03,25.7833,45.8667,RO
100,Castlebar,48.58,93,0,6.35,-9.3,53.85,IE
101,Gandu,69.84,100,43,1.07,-39.4867,-13.7439,BR
102,Mandeville,66.63,92,100,3.04,-77.5071,18.0417,JM
103,Asha,44.35,64,58,1.68,57.2722,54.9973,RU
104,Pevek,17.78,89,99,1.95,170.3133,69.7008,RU
105,Carnarvon,86.07,39,0,4.61,113.6333,-24.8667,AU
106,Kuching,84.42,79,20,2.3,110.3333,1.55,MY
107,Turukhansk,15.6,86,94,7.09,87.9833,65.8167,RU
108,Yellowknife,26.47,80,11,11.97,-114.3525,62.456,CA
109,Skibbereen,54.1,85,57,10.98,-9.2667,51.55,IE
110,Ust-Tsilma,31.62,96,100,0.18,52.1498,65.441,RU
111,Grindavik,43.27,81,75,1.14,-22.4338,63.8424,IS
112,Jaqué,78.39,82,43,1.3,-78.1703,7.5175,PA
113,Husavik,43.05,77,85,4.56,-17.3389,66.0449,IS
114,Aklavik,31.53,94,89,7.76,-135.0107,68.2191,CA
115,Tari,86.34,30,68,4.99,4.4914,12.4086,NG
116,Mahibadhoo,84.34,70,100,3.09,72.9667,3.7833,MV
117,Lerwick,44.6,75,95,14.34,-1.1494,60.1545,GB
118,Puerto Baquerizo Moreno,71.38,91,88,7.61,-89.6,-0.9,EC
119,Borkenes,34.99,98,25,10.0,16.1739,68.774,NO
120,Thompson,33.87,92,100,14.09,-97.8558,55.7435,CA
121,Shellbrook,34.3,87,97,7.31,-106.4011,53.2168,CA
122,Naushahro Firoz,94.71,22,50,7.34,68.123,26.8424,PK
123,Zlobin,47.16,93,40,13.8,14.6541,45.2924,HR
124,Santa Rosa,91.09,65,6,10.56,121.1114,14.3122,PH
125,Lompoc,61.57,77,0,30.0,-120.4579,34.6391,US
126,Kizema,33.76,93,100,3.42,44.8302,61.113,RU
127,Okhotsk,31.46,86,7,5.93,143.3,59.3833,RU
128,Charters Towers,77.97,61,100,16.71,146.2667,-20.1,AU
129,Tateyama,61.29,88,100,8.79,139.8667,34.9833,JP
130,Vaini,82.56,74,40,4.61,-175.2,-21.2,TO
131,Smidovich,49.12,57,99,27.56,133.8167,48.6,RU
132,Mikuni,65.95,66,100,4.79,136.1519,36.2171,JP
133,Coquimbo,56.93,100,100,5.75,-71.3436,-29.9533,CL
134,Salalah,80.78,79,30,5.84,54.0924,17.0151,OM
135,Te Anau,54.16,67,100,4.7,167.7167,-45.4167,NZ
136,Port Elizabeth,60.31,96,10,11.01,25.5701,-33.918,ZA
137,Turaif,61.9,63,12,10.65,38.6637,31.6725,SA
138,Qaanaaq,-4.79,77,29,6.78,-69.3632,77.484,GL
139,Ilulissat,26.62,93,20,3.44,-51.1,69.2167,GL
140,Mehamn,38.64,96,100,19.24,27.8492,71.0357,NO
141,Antibes,51.28,90,75,10.36,7.1278,43.5624,FR
142,Cidreira,58.41,73,0,6.69,-50.2056,-30.1811,BR
143,Bekhteyevka,47.3,79,100,8.68,37.2085,50.8072,RU
144,East London,62.1,89,81,8.59,27.9116,-33.0153,ZA
145,Safaga,73.17,42,0,5.64,33.9365,26.7292,EG
146,Benghazi,60.71,81,0,13.58,20.0667,32.1167,LY
147,Price,43.12,42,0,13.8,-110.8107,39.5994,US
148,Wiang Sa,87.85,65,96,1.83,99.3666,8.6359,TH
149,Codrington,64.94,53,4,10.89,141.9667,-38.2667,AU
150,Iqaluit,-1.35,91,22,3.04,-68.5145,63.7506,CA
151,San Cristobal,67.26,97,100,2.73,-72.225,7.7669,VE
152,Baykit,35.55,73,54,1.23,96.37,61.67,RU
153,Labuhan,84.4,74,100,3.2,112.2051,-6.8844,ID
154,Bereda,45.41,92,100,4.72,-7.5406,43.2686,ES
155,Nioro,81.43,30,0,1.23,-15.75,13.35,GM
156,Saldanha,56.8,73,2,9.73,17.9442,-33.0117,ZA
157,Fortuna,52.66,86,4,4.45,-124.1573,40.5982,US
158,Salaga,79.45,69,82,7.45,-0.5188,8.5508,GH
159,Pochutla,79.83,70,2,4.45,-96.4661,15.7432,MX
160,Majene,86.0,68,28,7.11,118.9707,-3.5403,ID
161,Kaitangata,51.57,76,88,12.93,169.8464,-46.2817,NZ
162,Kattivākkam,89.69,80,100,5.64,80.3167,13.2167,IN
163,Inhambane,71.73,85,0,1.97,35.3833,-23.865,MZ
164,Mbaïki,69.96,97,99,4.27,17.9892,3.8678,CF
165,Payo,73.81,98,100,1.52,103.6372,-3.7508,ID
166,Hede,79.18,52,37,11.01,120.2517,33.7681,CN
167,Arraial do Cabo,77.99,81,2,12.19,-42.0278,-22.9661,BR
168,Margate,52.7,82,100,4.0,1.3862,51.3813,GB
169,Tuktoyaktuk,25.74,93,17,5.44,-133.0374,69.4541,CA
170,Alice Springs,72.95,32,100,10.36,133.8833,-23.7,AU
171,Sulangan,82.65,76,95,6.15,123.7228,11.1373,PH
172,Forsytheganj,38.66,95,37,5.53,29.7333,52.6333,BY
173,Severo-Kuril'sk,35.67,99,100,3.71,156.125,50.6789,RU
174,Coyhaique,41.61,93,100,0.0,-72.0662,-45.5752,CL
175,Ahipara,64.96,67,99,14.9,173.1667,-35.1667,NZ
176,Padang,84.25,65,82,2.57,100.3543,-0.9492,ID
177,Hambantota,82.62,75,37,2.62,81.1185,6.1241,LK
178,Harper,80.22,82,99,4.34,-7.7169,4.375,LR
179,Barcelos,51.91,87,77,4.54,-8.6151,41.5388,PT
180,Souillac,74.62,68,85,13.51,57.5167,-20.5167,MU
181,Payson,47.37,46,1,4.0,-111.7321,40.0444,US
182,Chui,52.79,71,0,7.83,-53.4616,-33.6971,UY
183,Churapcha,34.03,58,36,2.86,132.4325,62.0025,RU
184,Alora,55.49,84,1,3.15,-4.7058,36.8236,ES
185,Port Said,65.37,77,3,8.01,32.2841,31.2565,EG
186,Sumkino,33.62,54,98,5.82,68.3244,58.1108,RU
187,Villazón,47.46,14,38,1.81,-65.5942,-22.0866,BO
188,Esim,79.57,88,100,5.39,-2.2405,4.8699,GH
189,Delmas 73,72.32,88,99,8.05,-72.3028,18.5447,HT
190,Saint Paul Harbor,42.31,87,100,18.41,-152.4072,57.79,US
191,Road Town,75.29,69,98,16.6,-64.6167,18.4167,VG
192,Ialibu,63.09,92,94,1.48,143.9935,-6.2821,PG
193,Lexington,73.29,56,0,6.91,-84.4777,37.9887,US
194,Vostok,44.04,74,94,16.13,135.8833,46.4856,RU
195,Kirakira,85.68,65,57,4.68,161.9205,-10.4544,SB
196,Novomichurinsk,45.57,77,93,5.91,39.7479,54.0384,RU
197,New Norfolk,64.89,43,22,1.68,147.0587,-42.7826,AU
198,Tomohon,79.74,60,42,2.73,124.8392,1.3346,ID
199,Departamento de Maldonado,61.23,68,0,10.16,-54.9167,-34.6667,UY
200,Cockburn Town,77.23,74,100,19.42,-71.1419,21.4612,TC
201,Colares,54.34,77,10,5.99,-9.4469,38.7992,PT
202,Tafo,73.09,97,99,3.02,-1.6127,6.7345,GH
203,Deoband,90.66,13,0,9.06,77.6833,29.7,IN
204,Saint-Philippe,71.22,79,72,11.7,55.7679,-21.3585,RE
205,Tual,83.7,70,83,4.56,132.75,-5.6667,ID
206,Ballina,71.02,76,28,14.7,153.5667,-28.8667,AU
207,Arys,69.12,56,100,11.36,68.795,42.4252,KZ
208,Chimbote,66.88,88,90,6.06,-78.5783,-9.0853,PE
209,Nador,57.45,77,0,6.91,-2.9287,35.174,MA
210,Avarua,80.65,78,73,10.36,-159.775,-21.2078,CK
211,Nemuro,42.82,71,4,21.32,145.575,43.3236,JP
212,Aberystwyth,46.71,80,12,17.56,-4.0829,52.4155,GB
213,Centerville,71.58,65,0,6.91,-84.1594,39.6284,US
214,Mpika,59.47,99,77,5.06,31.4529,-11.8343,ZM
215,Omboué,77.32,90,100,3.22,9.2618,-1.5746,GA
216,North Bend,54.16,91,0,8.05,-124.2243,43.4065,US
217,Sandakan,86.09,68,60,2.75,118.1179,5.8402,MY
218,Le Port,73.36,62,85,8.19,55.2919,-20.9373,RE
